date,lat,lon,rainfall
1986-01-01,19.125,72.625,
1986-01-01,19.125,72.875,0.0
1986-01-01,19.375,72.625,
1986-01-01,19.375,72.875,0.0
1986-01-02,19.125,72.625,
1986-01-02,19.125,72.875,0.0
1986-01-02,19.375,72.625,
1986-01-02,19.375,72.875,0.0
1986-01-03,19.125,72.625,
1986-01-03,19.125,72.875,0.0
1986-01-03,19.375,72.625,
1986-01-03,19.375,72.875,0.0
1986-01-04,19.125,72.625,
1986-01-04,19.125,72.875,0.0
1986-01-04,19.375,72.625,
1986-01-04,19.375,72.875,0.0
1986-01-05,19.125,72.625,
1986-01-05,19.125,72.875,0.0
1986-01-05,19.375,72.625,
1986-01-05,19.375,72.875,0.0
1986-01-06,19.125,72.625,
1986-01-06,19.125,72.875,0.0
1986-01-06,19.375,72.625,
1986-01-06,19.375,72.875,0.0
1986-01-07,19.125,72.625,
1986-01-07,19.125,72.875,0.0
1986-01-07,19.375,72.625,
1986-01-07,19.375,72.875,0.0
1986-01-08,19.125,72.625,
1986-01-08,19.125,72.875,0.0
1986-01-08,19.375,72.625,
1986-01-08,19.375,72.875,0.0
1986-01-09,19.125,72.625,
1986-01-09,19.125,72.875,0.0
1986-01-09,19.375,72.625,
1986-01-09,19.375,72.875,0.0
1986-01-10,19.125,72.625,
1986-01-10,19.125,72.875,0.0
1986-01-10,19.375,72.625,
1986-01-10,19.375,72.875,0.0
1986-01-11,19.125,72.625,
1986-01-11,19.125,72.875,0.0
1986-01-11,19.375,72.625,
1986-01-11,19.375,72.875,0.0
1986-01-12,19.125,72.625,
1986-01-12,19.125,72.875,0.0
1986-01-12,19.375,72.625,
1986-01-12,19.375,72.875,0.0
1986-01-13,19.125,72.625,
1986-01-13,19.125,72.875,0.0
1986-01-13,19.375,72.625,
1986-01-13,19.375,72.875,0.0
1986-01-14,19.125,72.625,
1986-01-14,19.125,72.875,0.0
1986-01-14,19.375,72.625,
1986-01-14,19.375,72.875,0.0
1986-01-15,19.125,72.625,
1986-01-15,19.125,72.875,0.0
1986-01-15,19.375,72.625,
1986-01-15,19.375,72.875,0.0
1986-01-16,19.125,72.625,
1986-01-16,19.125,72.875,0.0
1986-01-16,19.375,72.625,
1986-01-16,19.375,72.875,0.0
1986-01-17,19.125,72.625,
1986-01-17,19.125,72.875,0.0
1986-01-17,19.375,72.625,
1986-01-17,19.375,72.875,0.0
1986-01-18,19.125,72.625,
1986-01-18,19.125,72.875,0.0
1986-01-18,19.375,72.625,
1986-01-18,19.375,72.875,0.0
1986-01-19,19.125,72.625,
1986-01-19,19.125,72.875,0.0
1986-01-19,19.375,72.625,
1986-01-19,19.375,72.875,0.0
1986-01-20,19.125,72.625,
1986-01-20,19.125,72.875,0.0
1986-01-20,19.375,72.625,
1986-01-20,19.375,72.875,0.0
1986-01-21,19.125,72.625,
1986-01-21,19.125,72.875,0.0
1986-01-21,19.375,72.625,
1986-01-21,19.375,72.875,0.0
1986-01-22,19.125,72.625,
1986-01-22,19.125,72.875,0.0
1986-01-22,19.375,72.625,
1986-01-22,19.375,72.875,0.0
1986-01-23,19.125,72.625,
1986-01-23,19.125,72.875,0.0
1986-01-23,19.375,72.625,
1986-01-23,19.375,72.875,0.0
1986-01-24,19.125,72.625,
1986-01-24,19.125,72.875,0.0
1986-01-24,19.375,72.625,
1986-01-24,19.375,72.875,0.0
1986-01-25,19.125,72.625,
