date,lat,lon,rainfall
2017-01-18,18.875,72.875,0.0
2017-01-18,18.875,73.125,0.0
2017-01-18,19.125,72.625,
2017-01-18,19.125,72.875,0.0
2017-01-18,19.125,73.125,0.0
2017-01-18,19.375,72.625,
2017-01-18,19.375,72.875,0.0
2017-01-18,19.375,73.125,0.0
2017-01-19,18.875,72.625,
2017-01-19,18.875,72.875,0.0
2017-01-19,18.875,73.125,0.0
2017-01-19,19.125,72.625,
2017-01-19,19.125,72.875,0.0
2017-01-19,19.125,73.125,0.0
2017-01-19,19.375,72.625,
2017-01-19,19.375,72.875,0.0
2017-01-19,19.375,73.125,0.0
2017-01-20,18.875,72.625,
2017-01-20,18.875,72.875,0.0
2017-01-20,18.875,73.125,0.0
2017-01-20,19.125,72.625,
2017-01-20,19.125,72.875,0.0
2017-01-20,19.125,73.125,0.0
2017-01-20,19.375,72.625,
2017-01-20,19.375,72.875,0.0
2017-01-20,19.375,73.125,0.0
2017-01-21,18.875,72.625,
2017-01-21,18.875,72.875,0.0
2017-01-21,18.875,73.125,0.0
2017-01-21,19.125,72.625,
2017-01-21,19.125,72.875,0.0
2017-01-21,19.125,73.125,0.0
2017-01-21,19.375,72.625,
2017-01-21,19.375,72.875,0.0
2017-01-21,19.375,73.125,0.0
2017-01-22,18.875,72.625,
2017-01-22,18.875,72.875,0.0
2017-01-22,18.875,73.125,0.0
2017-01-22,19.125,72.625,
2017-01-22,19.125,72.875,0.0
2017-01-22,19.125,73.125,0.0
2017-01-22,19.375,72.625,
2017-01-22,19.375,72.875,0.0
2017-01-22,19.375,73.125,0.0
2017-01-23,18.875,72.625,
2017-01-23,18.875,72.875,0.0
2017-01-23,18.875,73.125,0.0
2017-01-23,19.125,72.625,
2017-01-23,19.125,72.875,0.0
2017-01-23,19.125,73.125,0.0
2017-01-23,19.375,72.625,
2017-01-23,19.375,72.875,0.0
2017-01-23,19.375,73.125,0.0
2017-01-24,18.875,72.625,
2017-01-24,18.875,72.875,0.0
2017-01-24,18.875,73.125,0.0
2017-01-24,19.125,72.625,
2017-01-24,19.125,72.875,0.0
2017-01-24,19.125,73.125,0.0
2017-01-24,19.375,72.625,
2017-01-24,19.375,72.875,0.0
2017-01-24,19.375,73.125,0.0
2017-01-25,18.875,72.625,
2017-01-25,18.875,72.875,0.0
2017-01-25,18.875,73.125,0.0
2017-01-25,19.125,72.625,
2017-01-25,19.125,72.875,0.0
2017-01-25,19.125,73.125,0.0
2017-01-25,19.375,72.625,
2017-01-25,19.375,72.875,0.0
2017-01-25,19.375,73.125,0.0
2017-01-26,18.875,72.625,
2017-01-26,18.875,72.875,0.0
2017-01-26,18.875,73.125,0.0
2017-01-26,19.125,72.625,
2017-01-26,19.125,72.875,0.0
2017-01-26,19.125,73.125,0.0
2017-01-26,19.375,72.625,
2017-01-26,19.375,72.875,0.0
2017-01-26,19.375,73.125,0.0
2017-01-27,18.875,72.625,
2017-01-27,18.875,72.875,0.0
2017-01-27,18.875,73.125,0.0
2017-01-27,19.125,72.625,
2017-01-27,19.125,72.875,0.0
2017-01-27,19.125,73.125,0.0
2017-01-27,19.375,72.625,
2017-01-27,19.375,72.875,0.0
2017-01-27,19.375,73.125,0.0
2017-01-28,18.875,72.625,
2017-01-28,18.875,72.875,0.0
2017-01-28,18.875,73.125,0.0
2017-01-28,19.125,72.625,
2017-01-28,19.125,72.875,0.0
2017-01-28,19.125,73.125,0.0
2017-01-28,19.375,72.625,
2017-01-28,19.375,72.875,0.0
2017-01-28,19.375,73.125,0.0
2017-01-29,18.875,72.625,
2017-01-29,18.875,72.875,0.0
2017-01-29,18.875,73.125,0.0
2017-01-29,19.125,72.625,
2017-01-29,19.125,72.875,0.0
2017-01-29,19.125,73.125,0.0
2017-01-29,19.375,72.625,
2017-01-29,19.375,72.875,0.0
2017-01-29,19.375,73.125,0.0
2017-01-30,18.875,72.625,
2017-01-30,18.875,72.875,0.0
2017-01-30,18.875,73.125,0.0
2017-01-30,19.125,72.625,
2017-01-30,19.125,72.875,0.0
2017-01-30,19.125,73.125,0.0
2017-01-30,19.375,72.625,
2017-01-30,19.375,72.875,0.0
2017-01-30,19.375,73.125,0.0
2017-01-31,18.875,72.625,
2017-01-31,18.875,72.875,0.0
2017-01-31,18.875,73.125,0.0
2017-01-31,19.125,72.625,
2017-01-31,19.125,72.875,0.0
2017-01-31,19.125,73.125,0.0
2017-01-31,19.375,72.625,
2017-01-31,19.375,72.875,0.0
2017-01-31,19.375,73.125,0.0
2017-02-01,18.875,72.625,
2017-02-01,18.875,72.875,0.0
2017-02-01,18.875,73.125,0.0
2017-02-01,19.125,72.625,
2017-02-01,19.125,72.875,0.0
2017-02-01,19.125,73.125,0.0
2017-02-01,19.375,72.625,
2017-02-01,19.375,72.875,0.0
2017-02-01,19.375,73.125,0.0
2017-02-02,18.875,72.625,
2017-02-02,18.875,72.875,0.0
2017-02-02,18.875,73.125,0.0
2017-02-02,19.125,72.625,
2017-02-02,19.125,72.875,0.0
2017-02-02,19.125,73.125,0.0
2017-02-02,19.375,72.625,
2017-02-02,19.375,72.875,0.0
2017-02-02,19.375,73.125,0.0
2017-02-03,18.875,72.625,
2017-02-03,18.875,72.875,0.0
2017-02-03,18.875,73.125,0.0
2017-02-03,19.125,72.625,
2017-02-03,19.125,72.875,0.0
2017-02-03,19.125,73.125,0.0
2017-02-03,19.375,72.625,
2017-02-03,19.375,72.875,0.0
2017-02-03,19.375,73.125,0.0
2017-02-04,18.875,72.625,
2017-02-04,18.875,72.875,0.0
2017-02-04,18.875,73.125,0.0
2017-02-04,19.125,72.625,
2017-02-04,19.125,72.875,0.0
2017-02-04,19.125,73.125,0.0
2017-02-04,19.375,72.625,
2017-02-04,19.375,72.875,0.0
2017-02-04,19.375,73.125,0.0
2017-02-05,18.875,72.625,
2017-02-05,18.875,72.875,0.0
2017-02-05,18.875,73.125,0.0
2017-02-05,19.125,72.625,
2017-02-05,19.125,72.875,0.0
2017-02-05,19.125,73.125,0.0
2017-02-05,19.375,72.625,
2017-02-05,19.375,72.875,0.0
2017-02-05,19.375,73.125,0.0
2017-02-06,18.875,72.625,
2017-02-06,18.875,72.875,0.0
2017-02-06,18.875,73.125,0.0
2017-02-06,19.125,72.625,
2017-02-06,19.125,72.875,0.0
2017-02-06,19.125,73.125,0.0
2017-02-06,19.375,72.625,
2017-02-06,19.375,72.875,0.0
